timestamp,node-stores,bus_access,skb_kfree_skb,cpu_cycles,l2d_cache_wb_victim,syscalls_sys_enter_fcntl,syscalls_sys_exit_fcntl,sched_sched_stat_runtime,st_spec,syscalls_sys_enter_kill,fib_fib_table_lookup,sock_inet_sock_set_state,l2d_cache_wb,unaligned_st_spec,mem_access_rd,l2d_cache_refill_wr,mmc_mmc_request_start,br_mis_pred
2025-07-30T15:48:57.226705,18887,82089,60954893,4043285,3114,23462935,23462935,23223971886754,436948,138246,396010555,268993,3114,63,635937,1505,457171,15410
2025-07-30T15:49:02.372257,18957,85581,60954905,4039792,3653,23467632,23467632,23227668270553,433512,138271,396010629,269042,3653,66,627200,1802,457284,15437
2025-07-30T15:49:07.534269,18008,86700,60954915,3841107,3057,23472381,23472381,23231555230732,435798,138297,396010693,269088,3057,65,640021,1483,457390,15848
2025-07-30T15:49:13.121821,17939,79881,60954922,3876611,3180,23477024,23477024,23239061900188,431309,138321,396399427,269129,3180,64,636952,1507,457496,16171
2025-07-30T15:49:19.001867,20599,86541,60954933,4074353,4031,23481658,23481658,23247907967981,992512,138344,396913767,269175,4031,66,628618,1866,457590,15920
2025-07-30T15:49:24.674921,31050,91397,60954940,4709057,3906,23486272,23486272,23256653972181,434159,138366,397429792,269209,3906,63,1735582,1735,457610,16545
2025-07-30T15:49:30.577016,21889,90981,60954961,8717300,4063,23495558,23495558,23275019445195,1112039,138413,398491597,269310,4063,66,1371189,1735,457813,24628
2025-07-30T15:49:36.018810,21298,96951,60954970,3987495,3895,23499105,23499105,23283922108662,433845,138436,399028234,269352,3895,62,637989,1755,457931,15535
2025-07-30T15:49:41.378255,20779,106410,60954983,8822160,3758,23503719,23503719,23293033835764,1093289,138459,399559337,269398,3758,63,638742,1702,457956,25620
2025-07-30T15:49:46.728342,23261,92825,60954997,4082449,4167,23508386,23508386,23302260507469,436118,138482,400094192,269438,4167,67,1635006,1732,458053,15983
2025-07-30T15:49:52.166976,23319,101948,60955008,4198670,4066,23513023,23513023,23311072338759,430441,138505,400607783,269488,4066,68,1578727,1754,458091,25043
2025-07-30T15:49:57.520464,22966,99300,60955019,9331524,3747,23517643,23517643,23320294765121,1130908,138528,401134859,269530,3747,159,1618428,1575,458225,24571
2025-07-30T15:50:02.653512,21217,90398,60955030,9058229,3938,23522311,23522311,23329543327972,541065,138553,401694555,269575,3938,59,634892,1844,458345,28833
2025-07-30T15:50:07.992493,22566,100120,60955039,3870920,4371,23527025,23527025,23338156295241,734214,138576,402145774,269626,4371,66,660106,1793,458459,16433
2025-07-30T15:50:13.626416,20722,89617,60955052,3957910,4165,23531268,23531268,23347177164358,432269,138601,402694217,269675,4165,65,646846,1671,458483,15366
2025-07-30T15:50:19.543942,22838,86424,60955063,4551696,3842,23535214,23535214,23356034771487,446619,138622,403216495,269713,3842,65,1630817,1640,458585,24997
2025-07-30T15:50:25.490538,21130,98798,60955083,9058356,3800,23544501,23544501,23373912111325,428112,138667,404288046,269801,3800,65,633580,1661,458690,15340
2025-07-30T15:50:31.158185,19544,90132,60955095,8507314,4187,23549139,23549139,23382986446965,1120794,138690,404820307,269852,4187,67,624241,1621,458795,25713
2025-07-30T15:50:36.797119,21018,91348,60955106,4091045,4103,23553807,23553807,23392162307234,440893,138713,405358554,269893,4103,69,631991,1861,458885,15530
2025-07-30T15:50:42.457134,23151,94190,60955114,8734440,4136,23558432,23558432,23401288002419,434003,138735,405898484,269930,4136,69,1647602,1634,458973,15809
2025-07-30T15:50:48.063053,24426,92365,60955124,4091859,4578,23563089,23563089,23410466962609,433873,138756,406446293,269975,4578,63,1722308,1719,459017,16036
2025-07-30T15:50:53.314087,23556,90117,60955135,4060022,3460,23567785,23567785,23419503144358,1128626,138780,406980375,270028,3460,64,1770878,1846,459128,15846
2025-07-30T15:50:58.714949,20227,92024,60955145,8809694,3702,23571348,23571348,23428594211983,1165150,138803,407516273,270064,3702,69,627719,1682,459241,16383
2025-07-30T15:51:03.857045,20288,88273,60955154,4037024,4345,23576017,23576017,23437910914444,430375,138827,408055743,270113,4345,63,627973,1611,459343,15728
2025-07-30T15:51:09.390047,20448,99700,60955165,4891403,3523,23580751,23580751,23446529572643,1092518,138850,408523649,270154,3523,62,635224,1710,459360,15915
2025-07-30T15:51:15.007934,20656,94840,60955183,4014205,4104,23590051,23590051,23465287488695,430739,138896,409607598,270254,4104,68,638438,1607,459562,25225
2025-07-30T15:51:21.155326,23678,90120,60955195,4025714,3810,23594704,23594704,23474116673186,429009,138919,410138168,270300,3810,70,1745676,1620,459582,16840
2025-07-30T15:51:26.600230,24263,98486,60955205,4152654,3543,23599357,23599357,23483247807990,450126,138942,410673845,270351,3543,59,1651015,1750,459692,15703
2025-07-30T15:51:32.284547,20387,112685,60955217,4335962,3978,23604013,23604013,23492285967358,430990,138965,411215798,270396,3978,67,639441,1762,459804,25103
2025-07-30T15:51:38.187382,23861,90344,60955226,4919526,4581,23608437,23608437,23501521494370,1072418,138989,411762866,270437,4581,66,1650059,1732,459924,16008
2025-07-30T15:51:43.882189,20678,100133,60955237,4132295,4459,23612672,23612672,23510346504451,1117373,139012,412307349,270490,4459,67,633536,1727,459942,26049
2025-07-30T15:51:49.224525,21181,89949,60955253,8310211,3544,23616947,23616947,23519346733097,1174284,139036,412836828,270538,3544,66,640056,1702,460038,16127
2025-07-30T15:51:54.894546,22718,88425,60955269,9075050,4251,23621635,23621635,23528380921127,1007895,139060,413364998,270586,4251,68,1638355,1725,460144,17305
2025-07-30T15:52:00.911346,24921,93240,60955289,4130802,3493,23630910,23630910,23546293705880,433693,139105,414436979,270684,3493,65,1660111,1593,460281,25613
2025-07-30T15:52:06.594802,20258,101372,60955295,4384088,3812,23635649,23635649,23554988574623,1086786,139129,414927163,270720,3812,73,640608,1673,460373,18536
2025-07-30T15:52:12.511894,21451,90977,60955308,8655120,4788,23640294,23640294,23564037186479,1175191,139152,415458470,270777,4788,68,637179,1706,460459,15693
2025-07-30T15:52:17.646305,20161,86157,60955317,4073525,4454,23644960,23644960,23573368062799,430919,139176,415994194,270818,4454,64,628735,1681,460539,15445
