timestamp,node-stores,bus_access,skb_kfree_skb,cpu_cycles,l2d_cache_wb_victim,syscalls_sys_enter_fcntl,sched_sched_stat_runtime,st_spec,syscalls_sys_enter_kill,fib_fib_table_lookup,sock_inet_sock_set_state,l2d_cache_wb,unaligned_st_spec,mem_access_rd,l2d_cache_refill_wr,mmc_mmc_request_start,br_mis_pred,benign_prob,attack_prob,prediction
2025-07-30T15:49:07.534269,18957,85581,12.0,4039792,3653,4697.0,3696383799.0,433512,25.0,74.0,49.0,3653,66,627200,1802,113.0,15437,0.90668195,0.09331807,0
2025-07-30T15:49:13.121821,18008,86700,10.0,3841107,3057,4749.0,3886960179.0,435798,26.0,64.0,46.0,3057,65,640021,1483,106.0,15848,0.8666691,0.1333309,0
2025-07-30T15:49:19.001867,17939,79881,7.0,3876611,3180,4643.0,7506669456.0,431309,24.0,388734.0,41.0,3180,64,636952,1507,106.0,16171,0.43038905,0.56961095,1
2025-07-30T15:49:24.674921,20599,86541,11.0,4074353,4031,4634.0,8846067793.0,992512,23.0,514340.0,46.0,4031,66,628618,1866,94.0,15920,0.26340044,0.73659956,1
2025-07-30T15:49:30.577016,31050,91397,7.0,4709057,3906,4614.0,8746004200.0,434159,22.0,516025.0,34.0,3906,63,1735582,1735,20.0,16545,0.2601819,0.7398181,1
2025-07-30T15:49:36.018810,21889,90981,21.0,8717300,4063,9286.0,18365473014.0,1112039,47.0,1061805.0,101.0,4063,66,1371189,1735,203.0,24628,0.007989645,0.99201035,1
2025-07-30T15:49:41.378255,21298,96951,9.0,3987495,3895,3547.0,8902663467.0,433845,23.0,536637.0,42.0,3895,62,637989,1755,118.0,15535,0.009102166,0.99089783,1
2025-07-30T15:49:46.728342,20779,106410,13.0,8822160,3758,4614.0,9111727102.0,1093289,23.0,531103.0,46.0,3758,63,638742,1702,25.0,25620,0.0051454306,0.99485457,1
2025-07-30T15:49:52.166976,23261,92825,14.0,4082449,4167,4667.0,9226671705.0,436118,23.0,534855.0,40.0,4167,67,1635006,1732,97.0,15983,0.0014687777,0.9985312,1
2025-07-30T15:49:57.520464,23319,101948,11.0,4198670,4066,4637.0,8811831290.0,430441,23.0,513591.0,50.0,4066,68,1578727,1754,38.0,25043,0.00934875,0.99065125,1
2025-07-30T15:50:02.653512,22966,99300,11.0,9331524,3747,4620.0,9222426362.0,1130908,23.0,527076.0,42.0,3747,159,1618428,1575,134.0,24571,0.011668205,0.9883318,1
2025-07-30T15:50:07.992493,21217,90398,11.0,9058229,3938,4668.0,9248562851.0,541065,25.0,559696.0,45.0,3938,59,634892,1844,120.0,28833,0.0036539435,0.99634606,1
2025-07-30T15:50:13.626416,22566,100120,9.0,3870920,4371,4714.0,8612967269.0,734214,23.0,451219.0,51.0,4371,66,660106,1793,114.0,16433,0.0027105808,0.9972894,1
2025-07-30T15:50:19.543942,20722,89617,13.0,3957910,4165,4243.0,9020869117.0,432269,25.0,548443.0,49.0,4165,65,646846,1671,24.0,15366,0.3119619,0.6880381,1
2025-07-30T15:50:25.490538,22838,86424,11.0,4551696,3842,3946.0,8857607129.0,446619,21.0,522278.0,38.0,3842,65,1630817,1640,102.0,24997,0.01946044,0.98053956,1
2025-07-30T15:50:31.158185,21130,98798,20.0,9058356,3800,9287.0,17877339838.0,428112,45.0,1071551.0,88.0,3800,65,633580,1661,105.0,15340,0.0066289306,0.99337107,1
2025-07-30T15:50:36.797119,19544,90132,12.0,8507314,4187,4638.0,9074335640.0,1120794,23.0,532261.0,51.0,4187,67,624241,1621,105.0,25713,0.0038583875,0.9961416,1
2025-07-30T15:50:42.457134,21018,91348,11.0,4091045,4103,4668.0,9175860269.0,440893,23.0,538247.0,41.0,4103,69,631991,1861,90.0,15530,0.0031926036,0.9968074,1
2025-07-30T15:50:48.063053,23151,94190,8.0,8734440,4136,4625.0,9125695185.0,434003,22.0,539930.0,37.0,4136,69,1647602,1634,88.0,15809,0.00994724,0.99005276,1
2025-07-30T15:50:53.314087,24426,92365,10.0,4091859,4578,4657.0,9178960190.0,433873,21.0,547809.0,45.0,4578,63,1722308,1719,44.0,16036,0.0022773743,0.9977226,1
2025-07-30T15:50:58.714949,23556,90117,11.0,4060022,3460,4696.0,9036181749.0,1128626,24.0,534082.0,53.0,3460,64,1770878,1846,111.0,15846,0.017087042,0.98291296,1
2025-07-30T15:51:03.857045,20227,92024,10.0,8809694,3702,3563.0,9091067625.0,1165150,23.0,535898.0,36.0,3702,69,627719,1682,113.0,16383,0.0045660734,0.9954339,1
2025-07-30T15:51:09.390047,20288,88273,9.0,4037024,4345,4669.0,9316702461.0,430375,24.0,539470.0,49.0,4345,63,627973,1611,102.0,15728,0.0046857595,0.99531424,1
2025-07-30T15:51:15.007934,20448,99700,11.0,4891403,3523,4734.0,8618658199.0,1092518,23.0,467906.0,41.0,3523,62,635224,1710,17.0,15915,0.16183567,0.8381643,1
2025-07-30T15:51:21.155326,20656,94840,18.0,4014205,4104,9300.0,18757916052.0,430739,46.0,1083949.0,100.0,4104,68,638438,1607,202.0,25225,0.08501494,0.91498506,1
2025-07-30T15:51:26.600230,23678,90120,12.0,4025714,3810,4653.0,8829184491.0,429009,23.0,530570.0,46.0,3810,70,1745676,1620,20.0,16840,0.021811008,0.978189,1
2025-07-30T15:51:32.284547,24263,98486,10.0,4152654,3543,4653.0,9131134804.0,450126,23.0,535677.0,51.0,3543,59,1651015,1750,110.0,15703,0.023009658,0.97699034,1
2025-07-30T15:51:38.187382,20387,112685,12.0,4335962,3978,4656.0,9038159368.0,430990,23.0,541953.0,45.0,3978,67,639441,1762,112.0,25103,0.0097029805,0.990297,1
2025-07-30T15:51:43.882189,23861,90344,9.0,4919526,4581,4424.0,9235527012.0,1072418,24.0,547068.0,41.0,4581,66,1650059,1732,120.0,16008,0.0022012591,0.99779874,1
2025-07-30T15:51:49.224525,20678,100133,11.0,4132295,4459,4235.0,8825010081.0,1117373,23.0,544483.0,53.0,4459,67,633536,1727,18.0,26049,0.0037602186,0.9962398,1
2025-07-30T15:51:54.894546,21181,89949,16.0,8310211,3544,4275.0,9000228646.0,1174284,24.0,529479.0,48.0,3544,66,640056,1702,96.0,16127,0.0018990636,0.99810094,1
2025-07-30T15:52:00.911346,22718,88425,16.0,9075050,4251,4688.0,9034188030.0,1007895,24.0,528170.0,48.0,4251,68,1638355,1725,106.0,17305,0.0015895963,0.9984104,1
2025-07-30T15:52:06.594802,24921,93240,20.0,4130802,3493,9275.0,17912784753.0,433693,45.0,1071981.0,98.0,3493,65,1660111,1593,137.0,25613,0.0060229897,0.993977,1
2025-07-30T15:52:12.511894,20258,101372,6.0,4384088,3812,4739.0,8694868743.0,1086786,24.0,490184.0,36.0,3812,73,640608,1673,92.0,18536,0.01211524,0.98788476,1
2025-07-30T15:52:17.646305,21451,90977,13.0,8655120,4788,4645.0,9048611856.0,1175191,23.0,531307.0,57.0,4788,68,637179,1706,86.0,15693,0.004200101,0.9957999,1
2025-07-30T15:52:24.009328,20161,86157,9.0,4073525,4454,4666.0,9330876320.0,430919,24.0,535724.0,41.0,4454,64,628735,1681,80.0,15445,0.0075971484,0.99240285,1
2025-07-30T15:52:29.923199,20748,86863,9.0,4170373,3768,4687.0,9245804297.0,1115696,24.0,539968.0,48.0,3768,65,635663,1635,75.0,22271,0.056447923,0.9435521,1
2025-07-30T15:52:36.311998,20560,103623,15.0,8785169,4287,4666.0,9327556518.0,1174283,25.0,542421.0,64.0,4287,64,630787,1762,24.0,16001,0.0032665133,0.9967335,1
2025-07-30T15:52:42.415985,20719,89307,22.0,4140766,3751,8174.0,17925168468.0,432427,44.0,1062909.0,83.0,3751,76,634578,1872,221.0,25209,0.004794121,0.9952059,1
2025-07-30T15:52:47.844128,20944,99140,12.0,9484995,3916,4637.0,9465457409.0,1237590,23.0,541323.0,51.0,3916,66,632331,1708,100.0,15588,0.003916383,0.9960836,1
